Company,Model,Car,Minimal price (gross) [PLN],Engine power [KM],Maximum torque [Nm],Type of brakes,Drive type,Battery capacity [kWh],Range (WLTP) [km],Wheelbase [cm],Length [cm],Width [cm],Height [cm],Minimal empty weight [kg],Permissable gross weight [kg],Maximum load capacity [kg],Number of seats,Number of doors,Tire size [in],Maximum speed [kph],Boot capacity (VDA) [l],Acceleration 0-100 kph [s],Maximum DC charging power [kW],mean - Energy consumption [kWh/100 km]
Mercedes,eqc 400 4matic,Mercedes eqc 400 4matic,,300,760,disc (front + rear),4WD,,370,,,,,,,,5,,,180,,5.1,440,
Mercedes,eqa,Mercedes eqa,,190,,disc (front + rear),4WD,,350,,,,,,,,5,,,200,,5,440,
Mercedes,eqv 300 long,Mercedes eqv 300 long,,204,362,,2WD,,330,,,,,,,,7,,,140,,10,290,
Mercedes,eqc,Mercedes eqc,334700,408,760,disc (front + rear),4WD,80,414,287.3,476.2,188.4,162.4,2495,2940,445,5,5,19,180,500,5.1,110,21.85
Mercedes,eqv (long),Mercedes eqv (long),339480,204,362,disc (front + rear),2WD,90,356,320,514,192.8,191,2710,3500,865,6,5,17,160,,,110,28.2
Mini,cooper se,Mini cooper se,139900,184,270,disc (front + rear),2WD,28.9,234,249.5,384.5,172.7,143.2,1300,1770,480,4,3,16,150,211,7.3,50,16.75
Mini,cooper se,Mini cooper se,,184,270,disc (front + rear),2WD,26,185,,,,,,,,4,,,150,,7.3,260,
Nissan,leaf,Nissan leaf,122900,150,320,disc (front + rear),2WD,40,270,270,449,178.8,153,1545,1995,450,5,5,16,144,435,7.9,50,18.5
Nissan,leaf e+,Nissan leaf e+,164000,217,340,disc (front + rear),2WD,62,385,270,449,178.8,154.5,1705,2140,435,5,5,17,157,435,6.9,100,17.1
Nissan,e-nv200 evalia,Nissan e-nv200 evalia,164328,109,254,disc (front + rear),2WD,40,,272.5,456,175.5,185.8,1592,2250,658,5,5,15,123,870,,50,25.9
Nissan,leaf,Nissan leaf,,150,320,disc (front + rear),2WD,40,,,,,,,,,5,,,144,,7.9,230,
Nissan,leaf e+,Nissan leaf e+,,,340,disc (front + rear),2WD,62,325,,,,,,,,5,,,157,,7.3,390,
Nissan,ariya 87kwh,Nissan ariya 87kwh,,238,600,disc (front + rear),2WD,,440,,,,,,,,5,,,160,,7.6,520,
Nissan,e-nv200 evalia,Nissan e-nv200 evalia,,490,600,disc (front + rear),2WD,93.4,190,,,,,,,,7,,,123,,14,190,
Nissan,ariya e-4orce 87kwh,Nissan ariya e-4orce 87kwh,,238,600,disc (front + rear),4WD,,420,,,,,,,,5,,,200,,5.7,500,
Nissan,ariya 63kwh,Nissan ariya 63kwh,,238,300,disc (front + rear),2WD,,330,,,,,,,,5,,,160,,7.5,440,
Nissan,ariya e-4orce 63kwh,Nissan ariya e-4orce 63kwh,,238,300,disc (front + rear),4WD,,325,,,,,,,,5,,,200,,5.9,440,
Nissan,ariya e-4orce 87kwh performance,Nissan ariya e-4orce 87kwh performance,,238,600,disc (front + rear),4WD,,375,,,,,,,,5,,,200,,5.1,450,
Opel,corsa-e,Opel corsa-e,128900,136,225,disc (front + rear),2WD,50,337,253.8,406,176.5,143.3,1530,1916,367,5,5,16,150,267,8.1,100,16.65
Opel,mokka-e,Opel mokka-e,139900,136,245,disc (front + rear),2WD,50,324,256.1,415.1,179.1,153.2,1598,2015,417,5,5,16,150,310,9,100,17.6
Opel,corsa-e,Opel corsa-e,,136,510,disc (front + rear),2WD,50,275,,,,,,,,5,,,150,,8.1,420,
Opel,ampera-e,Opel ampera-e,,136,1320,disc (front + rear),2WD,50,335,,,,,,,,5,,,150,,7.3,210,
Opel,mokka-e,Opel mokka-e,,136,1000,disc (front + rear),2WD,50,255,,,,,,,,5,,,150,,8.5,390,
Peugeot,e-208,Peugeot e-208,124900,136,660,disc (front + rear),2WD,50,340,254,405.5,174.5,143,1455,1918,463,5,5,16,150,311,8.1,100,16.4
Peugeot,e-2008,Peugeot e-2008,149400,136,660,disc (front + rear),2WD,50,320,260.5,430,177,153,1548,,,5,5,16,150,434,,100,
Peugeot,e-208,Peugeot e-208,,136,660,disc (front + rear),2WD,50,275,,,,,,,,5,,,150,,8.1,420,
Peugeot,e-2008 suv,Peugeot e-2008 suv,,136,440,disc (front + rear),2WD,50,250,,,,,,,,5,,,150,,8.5,380,
Porsche,taycan 4s (performance),Porsche taycan 4s (performance),457000,435,640,disc (front + rear),4WD,79.2,407,290,496.3,196.6,137.9,2215,2880,740,4,4,19,250,488,4,225,23.4
