Company,Model,Car,Engine power [KM],Maximum torque [Nm],Range (WLTP) [km],Maximum speed [kph],Acceleration 0-100 kph [s],Maximum DC charging power [kW],Type of brakes_disc (front + rear),Drive type_4WD
Bmw,i3s,Bmw i3s,0.13257575757575757,0.011178861788617888,0.2857142857142857,0.1289198606271777,0.2364532019704434,0.030501089324618737,True,False
Bmw,ix3,Bmw ix3,0.22916666666666663,0.024390243902439025,0.4171428571428572,0.19860627177700346,0.2315270935960591,0.13943355119825707,True,False
Bmw,ix3,Bmw ix3,0.22916666666666663,0.024390243902439025,0.3028571428571429,0.19860627177700346,0.2315270935960591,0.5860566448801744,True,False
Bmw,i4,Bmw i4,0.47348484848484845,0.06453252032520326,0.40571428571428575,0.26829268292682934,0.0935960591133005,0.6840958605664489,True,False
Bmw,i3 120 ah,Bmw i3 120 ah,0.11931818181818181,0.009146341463414635,0.15999999999999998,0.09407665505226487,0.2561576354679803,0.2701525054466231,True,False
Bmw,i3s 120 ah,Bmw i3s 120 ah,0.13257575757575757,0.011178861788617888,0.1542857142857143,0.1289198606271777,0.2364532019704434,0.2592592592592593,True,False
Byton,m-byte 95 kwh 4wd,Byton m-byte 95 kwh 4wd,0.34469696969696967,0.056910569105691054,0.33714285714285713,0.2334494773519164,0.16748768472906406,0.47712418300653603,True,True
Byton,m-byte 72 kwh 2wd,Byton m-byte 72 kwh 2wd,0.21590909090909088,0.024390243902439025,0.26285714285714284,0.2334494773519164,0.2561576354679803,0.43355119825708066,True,False
Byton,m-byte 95 kwh 2wd,Byton m-byte 95 kwh 2wd,0.21590909090909088,0.024390243902439025,0.3485714285714286,0.2334494773519164,0.2561576354679803,0.49891067538126366,True,True
Citroën,ë-c4,Citroën ë-c4,0.08712121212121211,0.010162601626016263,0.2914285714285714,0.09407665505226487,0.36453201970443355,0.08496732026143791,True,False
Citroën,ë-spacetourer (m),Citroën ë-spacetourer (m),0.08712121212121211,0.010162601626016263,0.1542857142857143,0.024390243902439046,0.5418719211822661,0.08496732026143791,True,False
Citroën,e-c4,Citroën e-c4,0.08712121212121211,0.010162601626016263,0.17714285714285716,0.09407665505226487,0.37438423645320196,0.38997821350762535,True,False
Ds,ds3 crossback e-tense,Ds ds3 crossback e-tense,0.08712121212121211,0.010162601626016263,0.2571428571428572,0.09407665505226487,0.3251231527093596,0.2701525054466231,True,False
Ds,3 crossback e-tense,Ds 3 crossback e-tense,0.08712121212121211,0.010162601626016263,0.17714285714285716,0.09407665505226487,0.3251231527093596,0.38997821350762535,True,False
Fiat,500e hatchback,Fiat 500e hatchback,0.07007575757575757,0.01321138211382114,0.17714285714285716,0.09407665505226487,0.33990147783251234,0.33551198257080617,True,False
Fiat,500e convertible,Fiat 500e convertible,0.07007575757575757,0.01321138211382114,0.17714285714285716,0.09407665505226487,0.33990147783251234,0.33551198257080617,True,False
Ford,mustang mach-e er 2wd,Ford mustang mach-e er 2wd,0.2102272727272727,0.04288617886178862,0.40571428571428575,0.19860627177700346,0.24137931034482762,0.2483660130718955,True,False
Ford,mustang mach-e er 4wd,Ford mustang mach-e er 4wd,0.1515151515151515,0.06808943089430894,0.3828571428571429,0.19860627177700346,0.19211822660098526,0.42265795206971685,True,True
Ford,mustang mach-e sr 4wd,Ford mustang mach-e sr 4wd,0.2102272727272727,0.042682926829268296,0.3017142857142857,0.19860627177700346,0.19211822660098526,0.36819172113289766,True,True
Ford,mustang mach-e sr 2wd,Ford mustang mach-e sr 2wd,0.2102272727272727,0.042682926829268296,0.3028571428571429,0.19860627177700346,0.22167487684729065,0.38997821350762535,True,False
Honda,e,Honda e,0.08712121212121211,0.015752032520325206,0.14514285714285713,0.07665505226480834,0.33990147783251234,0.08496732026143791,True,False
Honda,e advance,Honda e advance,0.10416666666666667,0.015752032520325206,0.14514285714285713,0.07665505226480834,0.30541871921182273,0.08496732026143791,True,False
